epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.105,0,118.676,0,0,0,0,0,0,156.94,0,5e-05,5e-05,5e-05
2,121.628,0,115.456,0,0,0,0,0,0,156.856,0,0.000101363,0.000101363,0.000101363
3,174.559,0,110.255,0,0,0,0,0,0,156.767,0,0.00014035,0.00014035,0.00014035
4,231.951,0,104.758,0,0,0,0,0,0,156.7,0,0.000166962,0.000166962,0.000166962
5,284.677,0,102.42,0,0,0,0,0,0,156.678,0,0.0001812,0.0001812,0.0001812
6,336.651,0,99.3189,0,0,0,0,0,0,156.588,0,0.000183063,0.000183063,0.000183063
7,389.639,0,97.0106,0,0,0,0,0,0,156.174,0,0.00017255,0.00017255,0.00017255
8,442.615,0,95.2109,0,0,0,0,0,0,155.922,0,0.000149663,0.000149663,0.000149663
9,495.776,0,93.904,0,0,0,0,0,0,155.731,0,0.0001144,0.0001144,0.0001144
10,549.33,0,93.4872,0,0,0,0,0,0,155.349,0,6.67625e-05,6.67625e-05,6.67625e-05
